,0
extreme_occ_scanpeak,155981.549179554
spectral_entropy_shift,141091.93570494652
ctx_ref_skew,55351.33961582184
ctx_ref_kurt,52602.22383451462
ctx_ref_log_n,50240.670642375946
ctx_ref_ac2,49260.36977624893
ctx_ref_ring0_p,49199.985657691956
ctx_ref_ar5_norm,45012.310057878494
spectral_centroid_shift,40957.8351354599
ar5_resid_var_scan,36124.5748796463
corridor_var_scanpeak,34636.0672044754
sign_runs_exppeak,34378.82942724228
ctx_ref_dz_q95,32758.146089076996
ar5_resid_var_scanpeak,32536.66725921631
corridor_var_exppeak,32232.09636068344
cdf0.75_exppeak,31854.939970970154
ctx_ref_runs_p,31117.174884796143
ctx_ref_ac1,29544.254083633423
ar5_resid_mean_scanpeak,28579.24582338333
cdf0.25_exppeak,28407.654404640198
quiet_occ_exppeak,26594.562888622284
cdf0.5_exppeak,26171.175133228302
dz_sign_runs_scanpeak,25574.269395828247
active_occ_exppeak,25343.962731838226
cdf0.9_exppeak,24645.682401180267
autocorr2_exppeak,23505.240054130554
vol_cluster_exppeak,22797.1803650856
cdf0.05_scanpeak,22721.32950735092
autocorr1_exppeak,22642.82853102684
glr_seg_len,22550.039401054382
rank_location_exppeak,21885.384298324585
quiet_occ_scanpeak,21758.78195619583
cdf0.1_exppeak,21719.140887737274
tails_exppeak,20723.46378326416
mean_exppeak,20416.505739212036
roughness_absdev_exppeak,18268.95269727707
ks_stat,18090.69903254509
jump_freq_exppeak,16740.843932151794
active_occ_scanpeak,15931.480722427368
jump_freq_scanpeak,15201.560631752014
cdf0.95_scanpeak,14952.006384372711
ar5_resid_var_exppeak,14880.499510765076
sign_runs_scanpeak,14643.432053089142
rank_spread_exppeak,14487.364572525024
curvature_var_exppeak,14065.652572631836
absrank_spread_exppeak,14018.949642181396
absdev_exppeak,13743.259623289108
cdf0.75_scanpeak,13250.686050415039
vol_cluster_scanpeak,13077.726358413696
autocorr1_scanpeak,12939.111969947815
cdf0.9_scanpeak,12530.705971717834
ar1_resid_mean_scanpeak,12501.45008277893
cdf0.1_scanpeak,12464.69027376175
cdf0.5_scanpeak,12297.002600193024
autocorr3_scanpeak,12231.800126552582
rank_location_scanpeak,11770.178538322449
roughness_absdev_scanpeak,11614.138185024261
variance_exppeak,11464.041511058807
roughness_var_exppeak,11338.949478149414
autocorr3_expanding,11250.24224615097
cdf0.25_scanpeak,11114.4414935112
skew_scanpeak,11108.343513011932
dz_sign_runs_expanding,11068.666618824005
ar1_resid_var_exppeak,10446.688001155853
glr_peak,10377.460501670837
tails_scanpeak,10168.917213916779
mean_scanpeak,10018.653385162354
autocorr2_scanpeak,9304.20931816101
glr_seg_frac,9281.897126197815
curvature_var_scanpeak,9195.442831993103
extreme_occ_scan,8814.92344045639
kurtosis_scanpeak,8805.104881763458
kurtosis_expanding,8202.58270740509
absdev_scanpeak,8160.874500274658
spectral_lowband_shift,7785.641998767853
skew_expanding,7184.0146288871765
active_occ_frachigh,7071.379912853241
ar5_resid_var_recent200,7040.49844121933
quiet_occ_frachigh,6915.630928516388
absrank_spread_scanpeak,6569.305451869965
roughness_var_scanpeak,6501.518529415131
extreme_occ_expanding,6434.712417125702
spectral_domfreq_shift,6030.609173297882
rank_spread_scanpeak,5940.342035293579
ks_pval,5751.015746116638
ar5_resid_var_recent100,5494.3583562374115
levene_t,5117.1250872612
corridor_var_frachigh,5053.426403045654
sign_runs_frachigh,5025.868727684021
autocorr2_expanding,4981.411473274231
ar1_resid_var_scanpeak,4962.193774223328
cdf0.5_frachigh,4319.335680961609
variance_scanpeak,4284.98149061203
ar5_resid_var_recent50,4263.063161849976
ftest_stat,4157.909446716309
autocorr2_recent500,4136.313060760498
autocorr2_frachigh,4073.631621360779
sign_runs_expanding,3988.6596446037292
rank_location_frachigh,3955.906005382538
cdf0.25_frachigh,3930.102137565613
jump_freq_recent20,3866.454602241516
cdf0.05_expanding,3863.3023595809937
cdf0.9_frachigh,3770.8859724998474
corridor_var_expanding,3695.946795940399
cdf0.1_frachigh,3683.8545122146606
seg_ar5_resid_var,3655.104808807373
ar5_resid_var_recent500,3587.147095680237
cdf0.95_expanding,3578.5380234718323
autocorr1_expanding,3557.1737217903137
vol_cluster_expanding,3472.2115268707275
cdf0.75_frachigh,3431.9812116622925
cdf0.5_expanding,3369.809872150421
vol_cluster_recent500,3349.8218569755554
ftest_pval,3281.4062910079956
sign_runs_recent500,3269.4960317611694
ar5_resid_var_recent20,3230.356219768524
autocorr1_frachigh,3227.5092039108276
mannwhitney_z,3207.6532502174377
ar5_resid_var_expanding,3130.2456011772156
mean_frachigh,3109.1299118995667
mannwhitney_pval,3077.1295742988586
ar5_resid_var_frachigh,3033.9679350852966
cdf0.75_expanding,2991.3795561790466
tails_frachigh,2977.0428261756897
quiet_occ_expanding,2892.7736101150513
cdf0.9_expanding,2862.0206394195557
seg_cdf0.95,2797.4325733184814
ar5_resid_mean_expanding,2762.8574748039246
seg_ar1_resid_var,2739.049623966217
vol_cluster_frachigh,2712.7387685775757
active_occ_expanding,2683.4332280158997
autocorr1_recent500,2672.6133155822754
corridor_var_recent500,2598.358696937561
cdf0.1_expanding,2578.3378529548645
vol_cluster_recent200,2510.5846457481384
quiet_occ_recent500,2492.6028008461
skew_scan,2384.923204421997
autocorr2_recent200,2381.8852853775024
cdf0.5_recent500,2349.586259365082
active_occ_recent500,2345.6357951164246
seg_variance,2260.1199135780334
cdf0.1_scan,2250.45782995224
vol_cluster_recent100,2204.736777305603
cdf0.25_expanding,2198.9943809509277
corridor_var_recent200,2169.4979963302612
rank_location_expanding,2153.9162406921387
roughness_absdev_frachigh,2138.8190627098083
autocorr1_recent200,2121.9602570533752
jump_freq_frachigh,2116.97048664093
curvature_var_frachigh,2083.283702850342
cdf0.75_recent500,2033.194547176361
kurtosis_scan,2028.0402398109436
seg_autocorr2,1985.1307711601257
vol_cluster_scan,1948.2100839614868
glr_strength,1944.6825170516968
cdf0.9_recent500,1936.0953645706177
tails_expanding,1935.1042475700378
jump_freq_recent50,1928.97083568573
ar1_resid_mean_expanding,1921.8718166351318
autocorr3_scan,1889.0797181129456
sign_runs_recent200,1883.3966670036316
cdf0.5_recent100,1877.7773003578186
rank_spread_frachigh,1873.6022787094116
dz_sign_runs_scan,1833.7029604911804
seg_vol_cluster,1811.3316397666931
absrank_spread_frachigh,1804.5165824890137
jump_freq_recent100,1793.9266753196716
jump_freq_expanding,1780.869550228119
cdf0.1_recent50,1772.7217144966125
cdf0.95_scan,1770.2331991195679
cdf0.5_recent200,1770.193561553955
sign_runs_recent100,1769.815176486969
corridor_var_scan,1758.2034287452698
cdf0.9_scan,1753.6255159378052
active_occ_scan,1749.1058621406555
quiet_occ_recent200,1745.127369403839
autocorr2_recent100,1716.914309978485
seg_sign_runs,1702.6213521957397
ar1_resid_var_frachigh,1690.628833770752
active_occ_recent200,1673.5722026824951
curvature_var_expanding,1659.6206440925598
seg_corridor_var,1651.3955392837524
ar1_resid_var_expanding,1640.3580303192139
cdf0.1_recent500,1639.647249698639
cdf0.1_recent20,1629.4343752861023
absdev_frachigh,1617.8003134727478
autocorr1_scan,1612.9357409477234
cdf0.9_recent50,1610.4960741996765
active_occ_recent100,1583.5975399017334
tails_recent200,1581.0913562774658
seg_autocorr1,1579.662667274475
vol_cluster_recent50,1578.1369881629944
cdf0.9_recent200,1576.6394453048706
cdf0.25_recent500,1559.7301654815674
tails_recent100,1556.7666878700256
corridor_var_recent100,1479.4504108428955
ar1_resid_var_scan,1479.2101583480835
variance_frachigh,1474.815067768097
roughness_absdev_scan,1462.757972240448
sign_runs_scan,1450.8532185554504
rank_spread_expanding,1414.3208193778992
tails_recent50,1386.4451036453247
variance_recent100,1380.4902167320251
mean_expanding,1368.7420892715454
roughness_absdev_expanding,1366.1113662719727
quiet_occ_recent100,1358.9661054611206
roughness_var_scan,1341.6089901924133
tails_recent500,1335.0577793121338
seg_active_occ,1329.9364533424377
seg_cdf0.75,1325.0953207015991
cdf0.9_recent100,1311.8376479148865
cdf0.1_recent200,1309.7934274673462
cdf0.75_recent200,1306.025707244873
absrank_spread_expanding,1301.7950067520142
rank_location_recent500,1300.7849621772766
autocorr1_recent100,1290.2732915878296
cdf0.9_recent20,1288.5570015907288
roughness_var_frachigh,1287.7886457443237
cdf0.75_scan,1259.3706555366516
cdf0.1_recent100,1254.9989709854126
seg_quiet_occ,1250.0909185409546
active_occ_recent50,1233.7385849952698
cdf0.75_recent100,1216.288522720337
rank_spread_recent500,1204.1414575576782
seg_cdf0.5,1199.6854100227356
rank_spread_scan,1197.6930265426636
seg_cdf0.1,1194.4699850082397
cdf0.05_scan,1187.3308854103088
jump_freq_recent500,1172.5891222953796
corridor_var_recent50,1165.251978635788
variance_recent200,1163.7377967834473
cdf0.25_recent50,1156.5000638961792
seg_cdf0.25,1136.5164976119995
quiet_occ_recent20,1135.390320301056
cdf0.75_recent50,1133.3005952835083
jump_freq_recent200,1131.275640964508
absrank_spread_recent500,1131.0724997520447
ar1_resid_mean_scan,1127.4269003868103
roughness_absdev_recent200,1120.5373539924622
jump_freq_scan,1116.43022108078
cdf0.25_recent200,1109.3697590827942
cdf0.5_recent20,1108.5702805519104
seg_ar5_resid_mean,1097.5998492240906
variance_scan,1091.9713959693909
tails_recent20,1086.1117935180664
quiet_occ_recent50,1082.8100924491882
curvature_var_recent500,1074.2911977767944
roughness_var_expanding,1069.179322719574
mean_recent500,1061.1003251075745
roughness_absdev_recent500,1060.4098715782166
cdf0.5_recent50,1051.8355102539062
cdf0.25_scan,1049.130621433258
autocorr2_recent50,1040.1688079833984
seg_cdf0.05,1037.250759601593
cdf0.5_scan,1035.8386340141296
autocorr2_scan,1016.676643371582
curvature_var_recent100,1006.5964093208313
curvature_var_recent200,995.6178674697876
ar1_resid_var_recent500,995.2535095214844
vol_cluster_recent20,992.3481550216675
ar1_resid_var_recent200,988.3319487571716
active_occ_recent20,984.1578507423401
seg_cdf0.9,982.2997722625732
tails_scan,981.937490940094
rank_spread_recent200,963.6803021430969
autocorr2_recent20,956.4841175079346
autocorr1_recent50,950.8334555625916
sign_runs_recent20,932.5276236534119
sign_runs_recent50,927.4137477874756
roughness_absdev_recent100,921.7763438224792
absrank_spread_recent200,913.8367385864258
ar1_resid_var_recent50,913.0979685783386
curvature_var_recent50,909.570294380188
absdev_scan,907.0822801589966
ar1_resid_var_recent20,904.2522611618042
seg_ar1_resid_mean,898.5505676269531
mean_recent200,896.0367116928101
curvature_var_scan,883.5085468292236
absrank_spread_scan,882.5615253448486
ar5_resid_mean_scan,878.4265213012695
seg_roughness_absdev,861.300431728363
quiet_occ_scan,855.7617683410645
seg_tails,855.3334565162659
seg_absdev,850.3921670913696
rank_spread_recent100,841.924542427063
cdf0.25_recent100,836.4085283279419
seg_jump_freq,835.7017230987549
seg_roughness_var,832.7730259895325
curvature_var_recent20,812.9893999099731
cdf0.25_recent20,783.0058002471924
corridor_var_recent20,780.6087522506714
variance_expanding,774.0739893913269
ar1_resid_var_recent100,768.4666147232056
seg_mean,736.2678909301758
rank_location_recent50,735.161705493927
cdf0.75_recent20,726.3073887825012
mean_recent50,721.9727826118469
absrank_spread_recent100,712.7042489051819
roughness_var_recent200,708.142156124115
absdev_recent100,702.3369007110596
absdev_recent200,690.0411276817322
rank_location_recent200,679.2384123802185
variance_recent500,677.5993399620056
mean_scan,669.002435207367
mean_recent100,663.0983772277832
absdev_expanding,662.8535814285278
roughness_absdev_recent20,660.1965909004211
roughness_var_recent50,657.959490776062
seg_rank_location,652.0197892189026
autocorr1_recent20,649.321968793869
absrank_spread_recent50,648.9623889923096
absdev_recent500,645.8429598808289
rank_location_recent20,611.3522217273712
variance_recent20,605.2729353904724
roughness_var_recent20,599.5377979278564
rank_location_scan,588.5034809112549
roughness_var_recent500,587.7814803123474
variance_recent50,587.4271011352539
seg_absrank_spread,581.9723243713379
absdev_recent50,578.0867319107056
rank_location_recent100,576.2363324165344
roughness_absdev_recent50,553.8663105964661
seg_rank_spread,540.342206954956
mean_recent20,532.5583333969116
absrank_spread_recent20,525.5755586624146
rank_spread_recent20,520.1407985687256
roughness_var_recent100,494.32358169555664
rank_spread_recent50,473.877010345459
seg_curvature_var,459.14961099624634
absdev_recent20,445.48023223876953
